# playback: video1_720p60.playback.raw capture: video1_720p60.capture.raw
# Timestamp: 2017-01-21 18:51:22.234760
# frame_index,sent_cpu_timestamp,received_cpu_timestamp,delay_cpu_time,sent_decklink_timestamp,received_decklink_time,delay_decklink_time,ssim_total,ssim_Y,ssim_Cb,ssim_Cr
688,1485049924023278,1485049924392502,369224,80402852789,80403221378,368589,0.929827,0.859472,0.968828,0.9611
696,1485049924156705,1485049924525939,369234,80402986217,80403354830,368613,0.932273,0.859334,0.973006,0.9644
704,1485049924290171,1485049924659463,369292,80403119669,80403488312,368643,0.932869,0.861245,0.973034,0.964329
712,1485049924423625,1485049924809586,385961,80403253121,80403638417,385296,0.932249,0.859878,0.972793,0.964077
720,1485049924557061,1485049924943086,386025,80403386574,80403771870,385296,0.930985,0.857833,0.972715,0.962406
728,1485049924690577,1485049925059746,369169,80403520056,80403888640,368584,0.931384,0.857881,0.972747,0.963523
736,1485049924824015,1485049925209916,385901,80403653479,80404038773,385294,0.931011,0.857822,0.972048,0.963164
744,1485049924957477,1485049925326682,369205,80403786931,80404155544,368613,0.931374,0.85859,0.972343,0.963188
752,1485049925090866,1485049925476809,385943,80403920383,80404305678,385295,0.933103,0.861381,0.973614,0.964312
760,1485049925224319,1485049925593565,369246,80404053836,80404422450,368614,0.935446,0.867124,0.97367,0.965546
768,1485049925357767,1485049925727072,369305,80404187288,80404555902,368614,0.934733,0.865881,0.973808,0.9645
776,1485049925491249,1485049925860501,369252,80404320741,80404689354,368613,0.934607,0.864657,0.973373,0.9657
784,1485049925624686,1485049925993953,369267,80404454193,80404822806,368613,0.935236,0.864704,0.97485,0.966154
792,1485049925758201,1485049926127409,369208,80404587671,80404956259,368588,0.934367,0.863073,0.974329,0.965
800,1485049925891705,1485049926260838,369133,80404721098,80405089712,368614,0.934502,0.864038,0.974026,0.965443
808,1485049926025072,1485049926394315,369243,80404854550,80405223190,368640,0.935335,0.866673,0.973827,0.965503
816,1485049926158529,1485049926527801,369272,80404988002,80405356642,368640,0.937004,0.869505,0.974826,0.966679
824,1485049926291938,1485049926661190,369252,80405121455,80405490069,368614,0.93694,0.868946,0.974497,0.967377
832,1485049926425400,1485049926794739,369339,80405254926,80405623546,368620,0.936497,0.868179,0.974043,0.967269
840,1485049926558920,1485049926928185,369265,80405388391,80405757002,368611,0.937787,0.870839,0.975246,0.967277
848,1485049926692363,1485049927061604,369241,80405521813,80405890451,368638,0.93833,0.872398,0.974681,0.967912
856,1485049926825816,1485049927195141,369325,80405655289,80406023907,368618,0.937819,0.871529,0.974479,0.967448
864,1485049926959249,1485049927328490,369241,80405788746,80406157330,368584,0.937018,0.869101,0.974574,0.967379
872,1485049927092759,1485049927461904,369145,80405922199,80406290782,368583,0.936579,0.865666,0.975737,0.968335
880,1485049927226212,1485049927595447,369235,80406055651,80406424266,368615,0.936376,0.865395,0.975224,0.9685
888,1485049927359601,1485049927728848,369247,80406189074,80406557688,368614,0.935837,0.86496,0.974656,0.967896
896,1485049927493040,1485049927862356,369316,80406322526,80406691165,368639,0.936547,0.866996,0.974308,0.968337
904,1485049927626511,1485049927995818,369307,80406456006,80406824618,368612,0.936571,0.866084,0.975293,0.968336
912,1485049927759994,1485049928129222,369228,80406589432,80406958046,368614,0.935811,0.864541,0.975045,0.967846
920,1485049927893441,1485049928262694,369253,80406722909,80407091525,368616,0.936069,0.865111,0.975081,0.968014
